Precio,M2,Balcon2,Amenities,cocinaSep,Monoambiente,A Estrenar,Patio PB,PB,Precio_predicho,residuo,es_outlier,tipo_outlier
75000,40,0,0,1,0,0,1,0,71143.8,3856.2,False,normal
78000,54,1,0,1,0,0,0,0,86585.47,-8585.47,False,normal
74000,58,1,0,0,0,0,0,0,86611.3,-12611.3,False,normal
76000,36,0,0,0,0,0,0,0,75892.55,107.45,False,normal
67000,49,1,0,0,0,0,0,0,86330.72,-19330.72,False,normal
126000,54,1,0,0,0,0,0,0,86486.6,39513.4,False,normal
59900,40,0,0,1,0,0,0,0,76116.12,-16216.12,False,normal
60000,48,0,0,1,0,0,0,0,76365.53,-16365.53,False,normal
55000,40,0,1,0,0,0,1,1,96595.94,-41595.94,True,subvaluado
105000,55,1,1,1,0,0,0,0,105947.64,-947.64,False,normal
102900,52,0,1,0,0,0,0,0,95722.35,7177.65,False,normal
113000,67,1,1,0,0,0,0,0,106222.87,6777.13,False,normal
82000,67,1,1,1,0,0,0,0,106321.75,-24321.75,False,normal
140000,45,1,1,0,0,1,0,0,111859.01,28140.99,False,normal
102300,60,1,1,0,0,1,0,0,112326.65,-10026.65,False,normal
150000,65,1,1,0,0,0,0,0,106160.52,43839.48,True,sobrevaluado
124900,113,1,1,1,0,0,0,1,113975.84,10924.16,False,normal
66000,45,1,1,1,0,0,0,0,105635.89,-39635.89,False,normal
98000,40,1,0,1,0,1,1,0,87498.69,10501.31,False,normal
107000,82,1,0,0,0,1,0,0,93681.51,13318.49,False,normal
75500,44,0,0,1,0,0,1,0,71268.5,4231.5,False,normal
98000,91,0,1,0,0,0,1,1,98185.89,-185.89,False,normal
102000,60,1,1,0,0,1,0,0,112326.65,-10326.65,False,normal
99000,50,0,1,0,0,1,0,0,101982.0,-2982.0,False,normal
79000,30,0,0,1,0,0,0,0,75804.37,3195.63,False,normal
126000,71,1,1,0,0,0,0,0,106347.58,19652.42,False,normal
100000,47,0,1,0,0,0,0,0,95566.47,4433.53,False,normal
75000,45,0,0,0,0,0,0,0,76173.12,-1173.12,False,normal
